SHEET 1: WORLD LEADER QUOTES ON US-ISRAEL IRAN STRIKES (since Feb 28 2026)
,,,,
Leader,Country / Role,Date,Verbatim Quote,Source
Pedro Sánchez,Prime Minister – Spain,4 Mar 2026 (televised address),"Very often great wars start with a chain of events spiralling out of control due to miscalculations, technical failures, and unforeseen circumstances. Therefore, we must learn from history and cannot play Russian roulette with the fate of millions.",https://www.france24.com/en/europe/20260304-spain-sanchez-defies-trump-trade-threat-compares-iran-war-to-russian-roulette
Mark Carney,Prime Minister – Canada,4 Mar 2026 (remarks to reporters – Sydney),"Prima facie, it appears that these actions are inconsistent with international law.",https://fortune.com/2026/03/04/canada-mark-carney-supports-war-in-iran-with-some-regret/
Mark Carney,Prime Minister – Canada,5 Mar 2026 (joint press conference with Albanese – Canberra),"One can never categorically rule out participation.",https://www.aljazeera.com/news/2026/3/5/canada-pm-carney-says-unable-to-rule-out-military-role-in-iran-war
Anthony Albanese,Prime Minister – Australia,5 Mar 2026 (joint press conference with Carney – Canberra),"The world wants to see a de-escalation and wants to see Iran cease to spread the destinations of its attacks.",https://www.pbs.org/newshour/world/leaders-of-canada-and-australia-urge-iran-war-de-escalation-affirm-iranians-cant-have-nuclear-weapons
Anthony Albanese,Prime Minister – Australia,5 Mar 2026 (joint press conference with Carney – Canberra),"We're seeing Gulf states, that have not been involved, attacked across the board, including the attacks on civilian and tourist areas as well. But we also want to see the objectives achieved. I want to see the possibility of Iran getting a nuclear weapon removed once and for all.",https://www.pbs.org/newshour/world/leaders-of-canada-and-australia-urge-iran-war-de-escalation-affirm-iranians-cant-have-nuclear-weapons
Mark Rutte,NATO Secretary General,5 Mar 2026 (Reuters interview),"Let's be absolutely clear-eyed to what's happening here. Iran is close to getting its hands on a nuclear capability and on a ballistic missile capability, which is posing a threat not only to the region, the Middle East, including posing an existential threat to Israel, it is also posing a huge threat to us here in Europe.",https://www.al-monitor.com/originals/2026/03/highlights-nato-chiefs-interview-reuters
Mark Rutte,NATO Secretary General,5 Mar 2026 (Reuters interview),"NATO, in that sense, is also this power protection projection platform for the United States. Because without European allies, the U.S. would have found it very difficult to launch this campaign against Iran.",https://www.al-monitor.com/originals/2026/03/highlights-nato-chiefs-interview-reuters
Mark Rutte,NATO Secretary General,5 Mar 2026 (Reuters interview),"NATO air missile defence was able to take it out. So that was very important. It also shows you, I think, clear evidence that we, with a 360-degree approach, will defend every inch of NATO territory.",https://www.al-monitor.com/originals/2026/03/highlights-nato-chiefs-interview-reuters
Sergei Lavrov,Foreign Minister – Russia,3 Mar 2026 (press conference – Moscow),"Forces will emerge in Iran… in favour of doing exactly what the Americans want to avoid – acquiring a nuclear bomb. Because the US doesn't attack those who have nuclear bombs.",https://www.usnews.com/news/world/articles/2026-03-03/russia-says-it-has-seen-no-evidence-that-iran-was-developing-nuclear-weapons
Sergei Lavrov,Foreign Minister – Russia,3 Mar 2026 (press conference – Moscow),"The seemingly paradoxical declared noble goal of starting a war to prevent the proliferation of nuclear weapons could stimulate completely opposite trends.",https://www.usnews.com/news/world/articles/2026-03-03/russia-says-it-has-seen-no-evidence-that-iran-was-developing-nuclear-weapons
Vladimir Putin,President – Russia,~1 Mar 2026,"A cynical murder.",https://www.themoscowtimes.com/2026/03/01/putin-expresses-condolences-to-irans-president-over-khamenei-cynical-assassination-a92081
Mao Ning / Chinese Foreign Ministry,Foreign Ministry Spokesperson – China,~1 Mar 2026 (press conference),"The attack and killing of Iran's supreme leader is a grave violation of Iran's sovereignty and security. It tramples on the purposes and principles of the UN Charter and basic norms in international relations. China firmly opposes and strongly condemns it.",https://www.fmprc.gov.cn/mfa_eng/xw/fyrbt/202603/t20260301_11866722.html
Masoud Pezeshkian,President – Iran,4 Mar 2026 (on X / Twitter – to neighbouring countries),"We respect your sovereignty, and believe the region's security and stability has to be achieved through the collective efforts of its states.",https://abc7news.com/live-updates/iran-live-updates-trump-says-major-combat-operations-have-begun/18660347/entry/18663904/
Abdul Malik al-Houthi,Houthi Leader – Yemen,5 Mar 2026 (televised speech),"Regarding military escalation and action, our fingers are on the trigger, ready to respond at any moment should developments warrant it.",https://www.timesofisrael.com/liveblog-march-05-2026/
Cyril Ramaphosa,President – South Africa,Mar 2026,"There is no military solution to fundamentally political problems.",https://en.wikipedia.org/wiki/Reactions_to_the_2026_Iran_war
Antonio Costa,EU Council President,4 Mar 2026 (re: Trump trade threat against Spain),"We reaffirm our firm commitment to the principles of international law and the rules-based order everywhere in the world.",https://www.cnbc.com/2026/03/04/spain-pm-sanchez-trump-trade-nato-defense-iran-israel-crisis.html
,,,,
NOTE: Some quotes above retain minimal contextual brackets (e.g. speaker clarifications) where the surrounding sentence is not a full standalone quote. All brackets are flagged.
,,,,
,,,,
SHEET 2: TRUMP COMMENTS ABOUT WORLD LEADERS (since Feb 28 2026)
,,,,
Leader Referenced,Country,Date / Setting,Verbatim Trump Quote,Source
Keir Starmer,UK,3 Mar 2026 – Oval Office alongside German Chancellor Merz,"This is not Winston Churchill that we're dealing with.",https://www.japantimes.co.jp/news/2026/03/04/world/politics/trump-uk-starmer-churchill-iran/ | https://www.itv.com/news/2026-03-03/fresh-israeli-attacks-on-iran-and-beirut-as-us-embassy-in-riyadh-hit-by-drones
Keir Starmer / UK,UK,3 Mar 2026 – interview with The Sun,"He has not been helpful. I never thought I'd see that. I never thought I'd see that from the UK. We love the UK.",https://www.theguardian.com/us-news/2026/mar/03/trump-starmer-uk-refusal-back-iran-strikes
Keir Starmer / UK,UK,3 Mar 2026 – interview with The Sun,"It's a different world, actually. It's just a much different kind of relationship that we've had with your country before. It's very sad to see that the relationship is obviously not what it was.",https://www.theguardian.com/us-news/2026/mar/03/trump-starmer-uk-refusal-back-iran-strikes
Keir Starmer / UK vs France,UK / France,3 Mar 2026 – interview with The Sun,"It's not going to matter, but he should have helped … he should have. I mean, France has been great. They've all been great. The UK has been much different from others.",https://www.theguardian.com/us-news/2026/mar/03/trump-starmer-uk-refusal-back-iran-strikes
Mark Rutte (NATO),NATO Secretary General,3 Mar 2026 – interview with The Sun,"You've seen the secretary general of Nato, the great things he said, Mark Rutte, he's great. No, they've all been pretty much great other than … we think Keir's was just very different.",https://www.theguardian.com/us-news/2026/mar/03/trump-starmer-uk-refusal-back-iran-strikes
Keir Starmer / UK (immigration),UK,3 Mar 2026 – interview with The Sun,"Stop people from coming in from foreign lands who hate you.",https://www.theguardian.com/us-news/2026/mar/03/trump-starmer-uk-refusal-back-iran-strikes
Keir Starmer / UK,UK,3 Mar 2026 – Oval Office alongside German Chancellor Merz,"It's taken three, four days for us to work out where we can land, it would have been much more convenient landing there as opposed to flying many extra hours.",https://www.itv.com/watch/news/trump-says-starmer-is-no-winston-churchill-and-criticises-pms-lack-of-support-for-iran-war/tt2gnhf
Pedro Sánchez / Spain,Spain,3 Mar 2026 – Oval Office alongside German Chancellor Merz,"Spain has been terrible. Spain has absolutely nothing that we need other than great people. They have great people, but they don't have great leadership.",https://fortune.com/2026/03/03/trump-threatens-spain-trade-war-iran-army-base/
Pedro Sánchez / Spain,Spain,3 Mar 2026 – Oval Office alongside German Chancellor Merz,"We're going to cut off all trade with Spain. We don't want anything to do with Spain.",https://fortune.com/2026/03/03/trump-threatens-spain-trade-war-iran-army-base/ | https://www.bloomberg.com/news/articles/2026-03-03/trump-threatens-to-cut-off-trade-after-spain-denies-air-base-use
Pedro Sánchez / Spain,Spain,3 Mar 2026 – Oval Office alongside German Chancellor Merz,"Spain is the only country that in NATO would not agree to go up to 5% in NATO spending. I don't think they agreed to go up to anything. They wanted to keep it at 2% and they don't pay the 2%.",https://fortune.com/2026/03/03/trump-threatens-spain-trade-war-iran-army-base/
Ayatollah Ali Khamenei,Iran,1 Mar 2026 – on Khamenei's death,"I got him before he got me. They tried twice. Well, I got him first.",https://www.cnbc.com/2026/03/01/us-iran-live-updates-khamenei-death-trump-gulf-strikes.html
Iranian leadership (succession),Iran,2 Mar 2026,"Most of the people we had in mind are dead. So, you know, we had some in mind from that group that is, is dead. And now we have another group. They may be dead also based on reports. So, I guess you have a third wave coming in. Pretty soon we're not going to know anybody.",https://www.washingtonpost.com/world/2026/03/02/us-israel-iran-hezbollah-military-strikes-live-updates/
Iranian leadership (post-Khamenei),Iran,3 Mar 2026,"I guess the worst case would be, we do this, and then somebody takes over who's as bad as the previous person, right?",https://www.euronews.com/2026/03/03/trump-says-everythings-been-knocked-out-in-iran-but-offers-no-clear-plan-for-war
Iranian people (addressed to),Iran,1 Mar 2026 (Truth Social),"This is the single greatest chance for the Iranian people to take back their country.",https://www.cnbc.com/2026/03/01/us-iran-live-updates-khamenei-death-trump-gulf-strikes.html
Iranian leadership / all parties,Iran,1 Mar 2026,"They want to talk, and I have agreed to talk, so I will be talking to them. They should have done it sooner. They should have given what was very practical and easy to do sooner. They waited too long.",https://www.npr.org/2026/03/01/nx-s1-5731333/iran-us-israel-strikes
Friedrich Merz / Germany,Germany,3 Mar 2026 – Oval Office press conference,"We'll obviously be talking a little bit about Iran today and he's been helping us out. He's been very nice actually.",https://www.yahoo.com/news/articles/trump-praises-germanys-stance-iran-061336019.html
Friedrich Merz / Germany,Germany,3 Mar 2026 – Oval Office press conference,"They're letting us land in certain areas, and we appreciate it, and they're just making it comfortable. We're not asking them to put boots on the ground.",https://www.france24.com/en/live-news/20260303-trump-hosts-germany-s-merz-for-talks-eclipsed-by-mideast-war
Iranian leadership (succession),Iran,3 Mar 2026 – Truth Social,"Their air defense, Air Force, Navy, and Leadership are gone. They want to talk. I said, 'Too Late!'",https://www.iranintl.com/en/202603054889
Iranian leadership (war progress),Iran,4 Mar 2026 – White House tech roundtable,"We're in a very strong position now, and their leadership is just rapidly going. Everybody that seems to want to be a leader, they end up dead.",https://www.timesofisrael.com/liveblog-march-04-2026/
Iranian leadership (war rating),Iran,4 Mar 2026,"I said about a 15.",https://www.themirror.com/entertainment/donald-trump-cnn-iran-war-1719656
Iranian succession / next leader,Iran,5 Mar 2026 – Reuters interview,"We want to be involved in the process of choosing the person who is going to lead Iran into the future, so we don't have to go back every five years and do this again and again. We want somebody that's going to be great for the people, great for the country.",https://www.al-monitor.com/originals/2026/03/trump-tells-reuters-us-will-have-role-choosing-irans-next-leader
Iranian succession / next leader,Iran,5 Mar 2026 – Reuters interview,"Khamenei's son is unacceptable to me. We want someone that will bring harmony and peace to Iran.",https://www.al-monitor.com/originals/2026/03/trump-tells-reuters-us-will-have-role-choosing-irans-next-leader
Iranian succession / next leader,Iran,5 Mar 2026 (Axios),"Khamenei's son is a lightweight. I have to be involved in the appointment, like with Delcy in Venezuela.",https://www.axios.com/2026/03/05/iran-leader-trump-khamenei
